"","year","pgh_growth","us_growth","cpi","us_r_growth","pgh_r_growth"
"1",1970,7.12228,6.84654,5.88369,0.96285,1.23859
"2",1971,5.25544,6.49081,4.22656,2.26425,1.02888
"3",1972,8.52299,8.65015,3.27295,5.3772,5.25004
"4",1973,9.92938,10.29766,6.25872,4.03894,3.67066
"5",1974,12.16663,8.72776,11.01107,-2.28331,1.15556
"6",1975,10.56925,8.33476,9.1416,-0.806840000000001,1.42765
"7",1976,9.24502,8.67542,5.77489,2.90053,3.47013
"8",1977,10.53161,9.31093,6.46956,2.84137,4.06205
"9",1978,10.28207,11.15021,7.62991,3.5203,2.65216
"10",1979,11.40971,10.51547,11.25303,-0.73756,0.15668
"11",1980,10.3047,10.28239,13.50172,-3.21933,-3.19702
"12",1981,10.89584,11.00221,10.37831,0.623899999999999,0.517529999999999
"13",1982,5.72565,6.1457,6.15836,-0.0126600000000003,-0.43271
"14",1983,2.65052,5.82106,3.15953,2.66153,-0.50901
"15",1984,7.26012,9.49236,4.3682,5.12416,2.89192
"16",1985,5.51304,6.1045,3.5279,2.5766,1.98514
"17",1986,4.11943,4.95145,1.94393,3.00752,2.1755
"18",1987,4.97768,5.17239,3.57821,1.59418,1.39947
"19",1988,8.98724,7.14483,4.10004,3.04479,4.8872
"20",1989,7.66093,6.97448,4.79109,2.18339,2.86984
"21",1990,6.96206,5.04626,5.41922,-0.37296,1.54284
"22",1991,4.29649,2.11425,4.21583,-2.10158,0.08066
"23",1992,4.82331,5.19801,3.04162,2.15639,1.78169
"24",1993,3.1787,3.02869,2.96965,0.05904,0.20905
"25",1994,3.34926,3.84363,2.5956,1.24803,0.75366
"26",1995,4.17419,4.5453,2.80542,1.73988,1.36877
"27",1996,4.8565,4.92399,2.93667,1.98732,1.91983
"28",1997,5.78039,4.93422,2.33757,2.59665,3.44282
"29",1998,4.3137,6.00885,1.54701,4.46184,2.76669
"30",1999,5.4139,4.06444,2.19314,1.8713,3.22076
"31",2000,6.56016,6.93222,3.36668,3.56554,3.19348
"32",2001,3.33669,3.09622,2.81663,0.27959,0.52006
"33",2002,1.52636,0.67723,1.59567,-0.91844,-0.06931
"34",2003,2.47055,2.72999,2.298,0.43199,0.17255
"35",2004,4.45896,4.79319,2.66757,2.12562,1.79139
"36",2005,4.26573,4.60899,3.36583,1.24316,0.8999
"37",2006,6.47984,6.33954,3.22209,3.11745,3.25775
"38",2007,5.53251,4.58554,2.87055,1.71499,2.66196
"39",2008,4.62949,2.82721,3.81495,-0.98774,0.81454
"40",2009,-2.55605,-4.03268,-0.32036,-3.71232,-2.23569
"41",2010,4.27647,3.37812,1.63657,1.74155,2.6399
"42",2011,4.95432,5.08149,3.13965,1.94184,1.81467
"43",2012,3.48441,4.24812,2.07319,2.17493,1.41122
"44",2013,0.88405,0.52271,1.46597,-0.94326,-0.58192
"45",2014,4.05262,4.68887,1.61546,3.07341,2.43716
"46",2015,4.1721,3.91654,0.12114,3.7954,4.05096
"47",2016,1.24104,1.83543,1.26736,0.56807,-0.0263200000000001
"48",2017,5.08121,3.89409,2.13144,1.76265,2.94977
"49",2018,6.71966,4.39401,2.43876,1.95525,4.2809
"50",2019,2.57586,4.56187,1.81107,2.7508,0.76479
"51",2020,7.0276,6.29887,1.2485,5.05037,5.7791
